Code,_id,Shop Name Tc,Shop Name En,DistrictTc,DistrictEn,Latitude,Longitude,Store.AddressTc,Store.AddressEn,Store.Is24Hours
1004,457,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3058242,114.172221,九龍佐敦佐敦道9-11號高基大廈地下3號舖,"Shop 3, G/F, Ko Kie Building, 9-11 Jordan Road, Jordan, KLN",TRUE
1439,795,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.30600638,114.1705884,九龍佐敦吳松街96及98號地下A舖,"Shop A, G/F, No. 96 & 98 Woosung Street, Jordan, Kowloon",TRUE
938,421,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3041444,114.1708619,九龍佐敦寶靈街8號寶靈大廈地下,"G/F., Bowring Building, No.8 Bowring Street, Jordan, Kowloon",TRUE
1336,706,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.30490459,114.1722661,九龍佐敦德興街11-12號興富中心地下,"Shop Nos. 1 & 2 on G/F., Rightful Centre, 11-12 Tak Hing Street, Jordon, KLN",TRUE
507,187,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3040687,114.1723025,九龍佐敦德興街1號(舖面向德成街)地下D舖,"Shop D, G/F., 1 Tak Hing Street, Jordan, KLN",TRUE
951,429,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3077788,114.1659045,九龍佐敦文苑街26-48號文耀樓地下26號舖位,"Shop 26, G/F, Man Yiu Building, 26-48 Man Yuen Street, Jordan, KLN",TRUE
1326,698,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3072983,114.1667406,九龍佐敦文英街2-24號文英樓地下24號舖,"Shop No.24 on G/F., Man Ying Buidling, Nos.2-24 Man Ying Street, Jordan, KLN",TRUE
1356,722,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3031644,114.1724997,九龍佐敦柯士甸道106號耀基大樓地下,"Ground Floor, Yiu Kei Mansion, No.106 Austin Road, Jordan, Kowloon",TRUE
1086,514,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3069255,114.1718266,九龍佐敦西貢街3-5號昌華商業大廈地下1號舖,"Shop No.1, G/F., Cheung Wah Commercial Building, No.3-5 Saigon Street, Jordan, Kowloon",TRUE
1506,859,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3051445,114.1693415,九龍佐敦道28-28A號敦成大廈地下A1舖,"Shop A1, G/F, Tun Shing Mansion, Nos. 28-28A Jordan Road, Kowloon",TRUE
1248,636,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3079,114.1719908,九龍北海街13-15號中?大廈地下及閣樓,"Ground Floor and Mezzanine Floor, Chung Pak Mansion, No.13-15 Pak Hoi Street, Jordan, Kowloon",TRUE
102,27,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3060633,114.1719613,九龍南京街11號地下,"G/F, 11 Nanking Street, Kln",TRUE
119,32,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3040846,114.1690145,九龍寶靈街48-50號地下,"G/F, 48-50 Bowring Street, Kln",TRUE
36,11,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.3033127,114.1698988,九龍尖沙咀柯士甸道45-53號聯業大廈地下A舖,"Shop A, G/F, TAL Building, 45-53 Austin Road, Kln",TRUE
226,69,7-Eleven 佐敦,7-Eleven Jordan,佐敦,Jordan,22.303165,114.174278,九龍柯士甸道144號祥景大廈地下A舖,"Shop A, G/F, Cheung King Mansion, 144 Austin Road, Kln",TRUE
